Full Match | Atlanta Reign vs. Guangzhou Charge | Stage 2 Week 3 Day 4
Duration: 1:58:34
Views: 1071
https://www.twitch.tv/videos/414652161?filter=highlights&sort=time
72765 words total

<<top 20>>
lul: 3494                     (4.8%)                        29 per 10 minutes
pogchamp: 3129                (4.3%)                        26 per 10 minutes
c9: 1471                      (2.02%)                       12 per 10 minutes
a: 1178                       (1.62%)                       10 per 10 minutes
owl2019atl: 1050              (1.44%)                       9 per 10 minutes
owl2019gzc: 960               (1.32%)                       8 per 10 minutes
is: 844                       (1.16%)                       7 per 10 minutes
to: 714                       (0.98%)                       6 per 10 minutes
the: 704                      (0.97%)                       6 per 10 minutes
owl2019gg: 701                (0.96%)                       6 per 10 minutes
i: 631                        (0.87%)                       5 per 10 minutes
and: 611                      (0.84%)                       5 per 10 minutes
this: 521                     (0.72%)                       4 per 10 minutes
you: 513                      (0.71%)                       4 per 10 minutes
go: 485                       (0.67%)                       4 per 10 minutes
!tokens: 456                  (0.63%)                       4 per 10 minutes
owl2019tracer: 432            (0.59%)                       4 per 10 minutes
residentsleeper: 415          (0.57%)                       4 per 10 minutes
4head: 371                    (0.51%)                       3 per 10 minutes
nyxl: 367                     (0.5%)                        3 per 10 minutes

<<11.5 hypescore>>
Nice match. Watch it if you want
pogchamp:3129                 (4.3%)                        +12.9
dps:67                        (0.09%)                       +0.27
pog:216                       (0.3%)                        +0.9

goats:203                     (0.28%)                       -0.84
residentsleeper:415           (0.57%)                       -1.71
