Full Match | LA Gladiators vs. Chengdu Hunters | Stage 2 Week 3 Day 3
Duration: 1:18:20
Views: 4301
https://www.twitch.tv/videos/414153061?filter=highlights&sort=time
54010 words total

<<top 20>>
lul: 3084                     (5.71%)                       39 per 10 minutes
pogchamp: 2450                (4.54%)                       31 per 10 minutes
owl2019cdh: 779               (1.44%)                       10 per 10 minutes
blessrng: 769                 (1.42%)                       10 per 10 minutes
to: 739                       (1.37%)                       9 per 10 minutes
i: 720                        (1.33%)                       9 per 10 minutes
owl2019gla: 708               (1.31%)                       9 per 10 minutes
is: 590                       (1.09%)                       8 per 10 minutes
the: 590                      (1.09%)                       8 per 10 minutes
a: 559                        (1.03%)                       7 per 10 minutes
owl2019gg: 529                (0.98%)                       7 per 10 minutes
say: 522                      (0.97%)                       7 per 10 minutes
!tokens: 496                  (0.92%)                       6 per 10 minutes
jinmu: 438                    (0.81%)                       6 per 10 minutes
ameng: 434                    (0.8%)                        6 per 10 minutes
this: 363                     (0.67%)                       5 per 10 minutes
owl2019tracer: 354            (0.66%)                       5 per 10 minutes
c9: 335                       (0.62%)                       4 per 10 minutes
in: 327                       (0.61%)                       4 per 10 minutes
biblethump: 314               (0.58%)                       4 per 10 minutes

<<12.7 hypescore>>
Nice match. Watch it if you want
pogchamp:2450                 (4.54%)                       +13.62
dps:218                       (0.4%)                        +1.2
pog:180                       (0.33%)                       +0.99

goats:288                     (0.53%)                       -1.59
residentsleeper:281           (0.52%)                       -1.56
