Full Match | Vancouver Titans  vs. Boston Uprising | Stage 2 Week 3 Day 4
Duration: 1:45:55
Views: 1427
https://www.twitch.tv/videos/414526789?filter=highlights&sort=time
83385 words total

<<top 20>>
lul: 4521                     (5.42%)                       43 per 10 minutes
pogchamp: 2400                (2.88%)                       23 per 10 minutes
residentsleeper: 2027         (2.43%)                       19 per 10 minutes
!tokens: 1475                 (1.77%)                       14 per 10 minutes
owl2019van: 1076              (1.29%)                       10 per 10 minutes
owl2019tracer: 988            (1.18%)                       9 per 10 minutes
a: 976                        (1.17%)                       9 per 10 minutes
the: 927                      (1.11%)                       9 per 10 minutes
goats: 860                    (1.03%)                       8 per 10 minutes
is: 841                       (1.01%)                       8 per 10 minutes
mercywing2: 801               (0.96%)                       8 per 10 minutes
mercywing1: 798               (0.96%)                       8 per 10 minutes
to: 757                       (0.91%)                       7 per 10 minutes
owl2019gg: 589                (0.71%)                       6 per 10 minutes
c9: 565                       (0.68%)                       5 per 10 minutes
boston: 553                   (0.66%)                       5 per 10 minutes
i: 545                        (0.65%)                       5 per 10 minutes
titans: 516                   (0.62%)                       5 per 10 minutes
owl2019bos: 467               (0.56%)                       4 per 10 minutes
pinkmercy: 466                (0.56%)                       4 per 10 minutes

<<-0.1 hypescore>>
Boring match. Don't waste your time, skip this one
pogchamp:2400                 (2.88%)                       +8.64
dps:235                       (0.28%)                       +0.84
pog:215                       (0.26%)                       +0.78

goats:860                     (1.03%)                       -3.09
residentsleeper:2027          (2.43%)                       -7.29
