Full Match | Vancouver Titans  vs. Dallas Fuel | Stage 2 Week 3 Day 1
Duration: 1:34:16
Views: 5837
https://www.twitch.tv/videos/413232376?filter=highlights&sort=time
66400 words total

<<top 20>>
lul: 3050                     (4.59%)                       32 per 10 minutes
pogchamp: 1852                (2.79%)                       20 per 10 minutes
owl2019dal: 1238              (1.86%)                       13 per 10 minutes
to: 840                       (1.27%)                       9 per 10 minutes
the: 836                      (1.26%)                       9 per 10 minutes
owl2019van: 832               (1.25%)                       9 per 10 minutes
a: 822                        (1.24%)                       9 per 10 minutes
dallas: 813                   (1.22%)                       9 per 10 minutes
is: 740                       (1.11%)                       8 per 10 minutes
owl2019gg: 650                (0.98%)                       7 per 10 minutes
residentsleeper: 632          (0.95%)                       7 per 10 minutes
this: 503                     (0.76%)                       5 per 10 minutes
in: 500                       (0.75%)                       5 per 10 minutes
i: 449                        (0.68%)                       5 per 10 minutes
4head: 446                    (0.67%)                       5 per 10 minutes
zach: 422                     (0.64%)                       4 per 10 minutes
for: 410                      (0.62%)                       4 per 10 minutes
bumper: 387                   (0.58%)                       4 per 10 minutes
you: 372                      (0.56%)                       4 per 10 minutes
gg: 359                       (0.54%)                       4 per 10 minutes

<<5.3 hypescore>>
Boring match. Don't waste your time, skip this one
pogchamp:1852                 (2.79%)                       +8.37
dps:99                        (0.15%)                       +0.45
pog:164                       (0.25%)                       +0.75

goats:316                     (0.48%)                       -1.44
residentsleeper:632           (0.95%)                       -2.85
